Loaded CSV of size 1000, sim_matrix (1000, 1000).
Running on 1 process(es) with 8 GPU(s) available
Process 0 has 1000 items to process.

Loading checkpoint shards:   0%|                                                        | 0/97 [00:00<?, ?it/s]
Loading checkpoint shards:   1%|▍                                               | 1/97 [00:01<03:01,  1.89s/it]
Loading checkpoint shards:   2%|▉                                               | 2/97 [00:03<03:00,  1.90s/it]
Loading checkpoint shards:   3%|█▍                                              | 3/97 [00:05<03:00,  1.92s/it]
Loading checkpoint shards:   4%|█▉                                              | 4/97 [00:07<03:02,  1.96s/it]
Loading checkpoint shards:   5%|██▍                                             | 5/97 [00:09<02:58,  1.94s/it]
Loading checkpoint shards:   6%|██▉                                             | 6/97 [00:11<02:47,  1.84s/it]
Loading checkpoint shards:   7%|███▍                                            | 7/97 [00:13<02:48,  1.88s/it]
Loading checkpoint shards:   8%|███▉                                            | 8/97 [00:15<02:47,  1.88s/it]
Loading checkpoint shards:   9%|████▍                                           | 9/97 [00:17<02:47,  1.91s/it]
Loading checkpoint shards:  10%|████▊                                          | 10/97 [00:19<02:46,  1.91s/it]
Loading checkpoint shards:  11%|█████▎                                         | 11/97 [00:20<02:45,  1.92s/it]
Loading checkpoint shards:  12%|█████▊                                         | 12/97 [00:22<02:44,  1.93s/it]
Loading checkpoint shards:  13%|██████▎                                        | 13/97 [00:24<02:43,  1.94s/it]
Loading checkpoint shards:  14%|██████▊                                        | 14/97 [00:26<02:41,  1.94s/it]
Loading checkpoint shards:  15%|███████▎                                       | 15/97 [00:28<02:39,  1.94s/it]
Loading checkpoint shards:  16%|███████▊                                       | 16/97 [00:30<02:37,  1.94s/it]
Loading checkpoint shards:  18%|████████▏                                      | 17/97 [00:32<02:33,  1.92s/it]
Loading checkpoint shards:  19%|████████▋                                      | 18/97 [00:34<02:32,  1.94s/it]
Loading checkpoint shards:  20%|█████████▏                                     | 19/97 [00:36<02:38,  2.03s/it]
Loading checkpoint shards:  21%|█████████▋                                     | 20/97 [00:38<02:35,  2.02s/it]
Loading checkpoint shards:  22%|██████████▏                                    | 21/97 [00:40<02:30,  1.98s/it]
Loading checkpoint shards:  23%|██████████▋                                    | 22/97 [00:42<02:26,  1.95s/it]
Loading checkpoint shards:  24%|███████████▏                                   | 23/97 [00:44<02:22,  1.92s/it]
Loading checkpoint shards:  25%|███████████▋                                   | 24/97 [00:46<02:19,  1.92s/it]
Loading checkpoint shards:  26%|████████████                                   | 25/97 [00:48<02:19,  1.94s/it]
Loading checkpoint shards:  27%|████████████▌                                  | 26/97 [00:50<02:15,  1.91s/it]
Loading checkpoint shards:  28%|█████████████                                  | 27/97 [00:52<02:14,  1.93s/it]
Loading checkpoint shards:  29%|█████████████▌                                 | 28/97 [00:54<02:14,  1.95s/it]
Loading checkpoint shards:  30%|██████████████                                 | 29/97 [00:56<02:13,  1.97s/it]
Loading checkpoint shards:  31%|██████████████▌                                | 30/97 [00:58<02:09,  1.93s/it]
Loading checkpoint shards:  32%|███████████████                                | 31/97 [00:59<02:05,  1.91s/it]
Loading checkpoint shards:  33%|███████████████▌                               | 32/97 [01:01<02:03,  1.90s/it]
Loading checkpoint shards:  34%|███████████████▉                               | 33/97 [01:03<02:01,  1.89s/it]
Loading checkpoint shards:  35%|████████████████▍                              | 34/97 [01:05<02:01,  1.92s/it]
Loading checkpoint shards:  36%|████████████████▉                              | 35/97 [01:07<02:00,  1.95s/it]
Loading checkpoint shards:  37%|█████████████████▍                             | 36/97 [01:09<02:04,  2.04s/it]
Loading checkpoint shards:  38%|█████████████████▉                             | 37/97 [01:11<02:00,  2.00s/it]
Loading checkpoint shards:  39%|██████████████████▍                            | 38/97 [01:13<01:56,  1.98s/it]
Loading checkpoint shards:  40%|██████████████████▉                            | 39/97 [01:15<01:55,  1.99s/it]
Loading checkpoint shards:  41%|███████████████████▍                           | 40/97 [01:17<01:51,  1.96s/it]
Loading checkpoint shards:  42%|███████████████████▊                           | 41/97 [01:19<01:54,  2.05s/it]
Loading checkpoint shards:  43%|████████████████████▎                          | 42/97 [01:21<01:49,  1.99s/it]
Loading checkpoint shards:  44%|████████████████████▊                          | 43/97 [01:23<01:48,  2.00s/it]
Loading checkpoint shards:  45%|█████████████████████▎                         | 44/97 [01:25<01:46,  2.01s/it]
Loading checkpoint shards:  46%|█████████████████████▊                         | 45/97 [01:27<01:44,  2.01s/it]
Loading checkpoint shards:  47%|██████████████████████▎                        | 46/97 [01:29<01:40,  1.97s/it]
Loading checkpoint shards:  48%|██████████████████████▊                        | 47/97 [01:31<01:37,  1.95s/it]
